population,waterbodies,globathy_depth_known,globathy_depth_coverage_pct,dmax_use_m_median_known,fpv_reference_lcoe_usd_mwh_median
all,199976,191826,95.92451094131296,13.689098989773267,102.64260864257812
l1,79669,71568,89.83167857008371,12.606878323289932,85.14716339111328
core_l2_lower,22405,22405,100.0,12.275055862134668,82.25980377197266
core_l2_upper,28470,22405,78.69687390235336,12.275055862134668,82.36210632324219
conservative_l2_lower,18221,18221,100.0,12.178989543679998,81.73055267333984
conservative_l2_upper,23730,18221,76.78466076696165,12.178989543679998,81.96892547607422
core_l3_lower,11084,11084,100.0,12.525025034762802,87.82972717285156
core_l3_upper,20393,16243,79.64987986073653,12.543486315698663,83.64741516113281
conservative_l3_lower,8549,8549,100.0,12.445242137898669,86.14641571044922
conservative_l3_upper,16489,12849,77.92467705743222,12.452494512857331,82.13888549804688
