column,dtype,licence_group,notes
hylak_id,Int64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
lake_type_code,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
area_km2,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
hydrolakes_grand_id,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
name,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
hydrolakes_country,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
hydrolakes_continent,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
pour_lon,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
pour_lat,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
wb_id,int64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
dryup_key_source_v113,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
nearest_distance_km,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
nearest_area_ratio,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
adjudication_v117,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
lake_type_code_v111,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
wb_type,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
lake_area_km2,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
country,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
continent,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
analysis_lon,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
analysis_lat,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
annual_specific_yield_kwh_kwp,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
annual_footprint_energy_kwh_m2,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
ice_months_temp_proxy,int64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
ice_pass_method_matched,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
ice_source,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
solar_distance_deg,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
met_distance_deg,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
l0_10pct_generation_gwh,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
l0_type_generation_gwh,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
l1_10pct_generation_gwh,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
l1_type_generation_gwh,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
li_ccr_valid_years_2002_2020_v117,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
li_ccr_mean_icd_days_2002_2020_v117,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
li_ccr_pcio_v117,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
in_ramsar_polygon,bool,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
ramsar_site_count_v117,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
glev_valid_months_1991_2018,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
glev_min_area_km2_1991_2018,float32,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
glev_median_area_km2_1991_2018,float32,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
glev_zero_months_1991_2018,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
glev_negative_months_1991_2018,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
historical_dryup_evidence_known_v113,boolean,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
historical_dryup_observed_1991_2018_v113,boolean,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
historical_no_dryup_observed_1991_2018_v113,boolean,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
centroid_lon,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
centroid_lat,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
l0_generation_gwh,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
l0_type_specific_generation_gwh,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
ice_direct_usable,bool,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
ice_pass_li_ccr,boolean,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
ice_pass_v112,bool,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
ice_source_v112,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
l1_area_pass_v112,bool,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
l1_pass_v112,bool,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
l1_uniform_generation_gwh_v112,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
l1_type_generation_gwh_v112,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
dryup_hylak_id_v113,Int64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
scope_reference_v117,bool,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
inventory_action_v117,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
mapped_hylak_id,Int64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
globathy_dmax_pavew_m_v116,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
fpv_capacity_mw_v116,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
historical_dryup_pass_1991_2018_v113,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
globathy_dmax_box_m_v116,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
grip_road_distance_lower_bound_km_v115,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
lcoe_conservative_usd_mwh_v116,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
lcoe_optimistic_usd_mwh_v116,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
annual_specific_yield_kwh_kwp_v116,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
grip_road_cell_center_distance_km_v115,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
historical_dryup_coverage_v113,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
road_within_10km_guaranteed_v115,bool,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
road_within_10km_possible_v115,bool,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
globathy_dmax_use_m_v116,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
lcoe_central_usd_mwh_v116,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
globathy_dmax_pa_m_v116,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
scope_deduplicated_v114,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
scope_dedup_rule_v114,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
grip_road_distance_upper_bound_km_v115,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
mapped_country_v117,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
mapped_continent_v117,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
country_v117,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
continent_v117,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
country_source_v117,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
country_iso3_v117,object,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
globathy_dmax_box_m_v117,float64,CC-BY-4.0-compatible research output,See data/SOURCES.json and manuscript Methods for provenance.
