entity_id,dimension,field,claude_score,codex_score,codex_is_null,claude_is_null,null_disagreement,claude_minus_codex,absolute_delta,stratum_region,stratum_waterbody_type,stratum_population,stratum_sample_size
province_cf1760f08d0a956ed1f9,province,implementation_offset,-0.04,-0.08,False,False,False,0.04,0.04,North America,all,253,26
ecology_0ece1c88b4fa8b77f6ef,ecology,ecological_suitability,0.35,0.4,False,False,False,-0.050000000000000044,0.050000000000000044,Asia,lake,188,17
ecology_13f622099f9ad203c680,ecology,ecological_suitability,0.2,0.4,False,False,False,-0.2,0.2,Europe,lake,57,6
ecology_0a560f51efe3427be96f,ecology,ecological_suitability,0.62,0.5,False,False,False,0.12,0.12,North America,reservoir,121,11
ecology_17e46dd7107425034363,ecology,ecological_suitability,0.55,0.5,False,False,False,0.050000000000000044,0.050000000000000044,Europe,reservoir,45,5
ecology_044e1d95026ec42300d7,ecology,ecological_suitability,0.6,0.5,False,False,False,0.09999999999999998,0.09999999999999998,Oceania,reservoir,32,4
ecology_079429a5f45cf736b511,ecology,ecological_suitability,0.2,0.4,False,False,False,-0.2,0.2,Asia+Europe,lake,20,3
ecology_0a2d6d70933e36d17756,ecology,ecological_suitability,0.2,0.4,False,False,False,-0.2,0.2,Europe,lake,57,6
ecology_1832f39ab6f787962ab7,ecology,ecological_suitability,0.6,0.5,False,False,False,0.09999999999999998,0.09999999999999998,Asia,reservoir,145,13
ecology_10be9845c2ff4eda449f,ecology,ecological_suitability,0.25,0.4,False,False,False,-0.15000000000000002,0.15000000000000002,South America,lake,90,8
ecology_20c3402f288f05af2d6d,ecology,ecological_suitability,0.62,0.5,False,False,False,0.12,0.12,Europe,reservoir,45,5
ecology_18cee5d6afb7befd7932,ecology,ecological_suitability,0.25,0.4,False,False,False,-0.15000000000000002,0.15000000000000002,Asia,lake,188,17
ecology_1b459817b840f6083a33,ecology,ecological_suitability,0.6,0.5,False,False,False,0.09999999999999998,0.09999999999999998,North America,reservoir,121,11
ecology_15d6f607053e046a6551,ecology,ecological_suitability,0.15,0.4,False,False,False,-0.25,0.25,Asia,lake,188,17
ecology_155245e27590494b787a,ecology,ecological_suitability,0.6,0.5,False,False,False,0.09999999999999998,0.09999999999999998,Asia,reservoir,145,13
ecology_a534ad46a305f0c9248f,ecology,ecological_suitability,0.15,0.4,False,False,False,-0.25,0.25,Asia,lake,188,17
ecology_740e0b466dc4c485ff53,ecology,ecological_suitability,0.6,0.5,False,False,False,0.09999999999999998,0.09999999999999998,Oceania,reservoir,32,4
engineering_955cb322df8455d69fff,engineering,maintenance_ease,0.3,0.3,False,False,False,0.0,0.0,Oceania,reservoir,17,2
engineering_023d9d1d82e4e8520bc4,engineering,maintenance_ease,0.5,0.6,False,False,False,-0.09999999999999998,0.09999999999999998,Africa,reservoir,93,9
ecology_afb38f4bc56c5519331b,ecology,ecological_suitability,0.6,0.5,False,False,False,0.09999999999999998,0.09999999999999998,North America,reservoir,121,11
engineering_770e89bafb7527fca6e5,engineering,maintenance_ease,0.55,0.65,False,False,False,-0.09999999999999998,0.09999999999999998,Asia,lake,160,15
engineering_f954295d4f89bbe0fd53,engineering,maintenance_ease,0.6,0.6,False,False,False,0.0,0.0,Europe,lake,105,10
province_1449c8b1b6f2e63604b4,province,implementation_offset,0.06,0.07,False,False,False,-0.010000000000000009,0.010000000000000009,North America,all,253,26
country_400a4c444effaa979700,country,renewable_support,0.75,0.8,False,False,False,-0.050000000000000044,0.050000000000000044,Europe,all,38,3
country_400a4c444effaa979700,country,finance_delivery,0.75,0.85,False,False,False,-0.09999999999999998,0.09999999999999998,Europe,all,38,3
ecology_4add5d53e2f93c7f2fcd,ecology,ecological_suitability,0.45,0.45,False,False,False,0.0,0.0,South America,reservoir,59,6
province_412a551a82647562ca92,province,implementation_offset,-0.05,,True,False,True,,,Europe,all,638,63
engineering_65ace1e1885496799f96,engineering,maintenance_ease,0.65,0.65,False,False,False,0.0,0.0,Europe,reservoir,124,12
engineering_9c6df2f80fe4f4978625,engineering,maintenance_ease,0.4,0.3,False,False,False,0.10000000000000003,0.10000000000000003,Asia,lake,160,15
province_16c44d7d2cbed860bb3e,province,implementation_offset,-0.04,,True,False,True,,,Africa,all,447,45
province_2b0d53fdddcfba5ae72b,province,implementation_offset,0.03,,True,False,True,,,North America,all,253,26
