protection,endpoint,missing_case,ice_unknown_in_either_period,environment_gate_changed,cost_gate_changed,L1_historical_gwh,L1_future_gwh,L1_change_gwh,L1_generation_effect_gwh,L1_admission_effect_gwh,L2_historical_gwh,L2_future_gwh,L2_change_gwh,L2_generation_effect_gwh,L2_admission_effect_gwh,L2_entry,L2_exit,L2_entry_with_unknown_ice,L2_admission_effect_unknown_ice_gwh,L3_historical_gwh,L3_future_gwh,L3_change_gwh,L3_generation_effect_gwh,L3_admission_effect_gwh,L3_entry,L3_exit,L3_entry_with_unknown_ice,L3_admission_effect_unknown_ice_gwh,L3_entry_environment_only,L3_entry_cost_only,L3_entry_both_gates,model,experiment,period,ice_error_case
conservative,lower,restricted,8716,6498,2602,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,3202969.1023642085,3529519.837378364,326550.7350141553,17511.88671412442,309038.84830003086,6339,159,318,24578.95768440272,509591.82494149316,527192.185002195,17600.360060701787,1443.1997422648744,16157.160318436909,400,83,88,5167.859354249998,111,289,0,MPI-ESM1-2-LR,ssp126,2031_2050,central
conservative,lower,unadjusted,8716,6498,2642,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,3273091.2617936786,3600919.990255803,327828.728462124,17793.132513650813,310035.5959484732,6339,159,318,25060.53231832797,539273.7076754981,556651.8544489207,17378.146773422515,1563.3084873155435,15814.83828610697,397,84,88,5319.425155727913,111,286,0,MPI-ESM1-2-LR,ssp126,2031_2050,central
conservative,upper,restricted,8716,6033,2602,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,3895880.8910473012,4205345.0594717,309464.16842439934,24544.641560350996,284919.5268640484,6033,0,12,459.63624842022966,1291618.6509317972,1321546.3165189698,29927.665587172625,3144.653396212907,26783.012190959715,586,128,12,1794.0249578667995,30,556,0,MPI-ESM1-2-LR,ssp126,2031_2050,central
conservative,upper,unadjusted,8716,6033,2642,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,3971569.075065822,4282066.324067038,310497.249001216,24964.99893368482,285532.2500675312,6033,0,12,557.1864373859473,1368213.9412549762,1398593.233355936,30379.29210095973,3637.792002952137,26741.50009800759,588,130,10,1722.947538935573,30,558,0,MPI-ESM1-2-LR,ssp126,2031_2050,central
core,lower,restricted,8716,6977,2602,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,4472360.504987216,4830140.363529947,357779.8585427314,24327.61191599961,333452.24662673176,6803,174,347,27901.605142506352,748032.9891227153,768100.6931033724,20067.70398065703,3501.0117084898543,16566.69227216717,474,103,92,5261.778788179438,115,359,0,MPI-ESM1-2-LR,ssp126,2031_2050,central
core,lower,unadjusted,8716,6977,2642,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,4576003.660295937,4936047.373648627,360043.71335268905,25277.969052085056,334765.744300604,6803,174,347,28663.252123360573,791227.7108586599,811985.5234141281,20757.812555468165,4000.9422166111226,16756.87033885704,470,104,92,5430.167764507618,115,355,0,MPI-ESM1-2-LR,ssp126,2031_2050,central
core,upper,restricted,8716,6473,2602,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,5288974.250412033,5627192.303502949,338218.05309091654,32111.211451563922,306106.8416393526,6473,0,17,556.2001551271911,1808964.2939372202,1842737.8910134032,33773.59707618294,6377.034831629023,27396.562244553905,683,155,20,1927.7863467821114,30,653,0,MPI-ESM1-2-LR,ssp126,2031_2050,central
core,upper,unadjusted,8716,6473,2642,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,5398925.727422666,5738893.365921565,339967.6384988994,33211.39597756306,306756.24252133636,6473,0,17,653.7503440929088,1913801.1222760326,1950023.1133009938,36221.99102496125,7450.332372391674,28771.65865256958,684,157,18,1870.5288579329226,30,654,0,MPI-ESM1-2-LR,ssp126,2031_2050,central
conservative,lower,restricted,8716,4675,2602,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,2901460.15674876,3133765.9035280054,232305.74677924538,18468.94719951476,213836.7995797306,4607,68,318,25175.94846763437,504391.06578663195,524101.8569438925,19710.791157260515,1462.4828459268176,18248.308311333694,439,78,88,5167.859354249998,154,285,0,MPI-ESM1-2-LR,ssp126,2031_2050,historical_error_longer_ice
conservative,lower,unadjusted,8716,4675,2642,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,2970463.011193683,3204257.979449466,233794.96825578285,18751.44638217848,215043.5218736044,4607,68,318,25657.523101559615,533582.9167920934,553205.3301912895,19622.413399196055,1584.2058522794962,18038.207546916554,437,79,88,5319.425155727913,155,282,0,MPI-ESM1-2-LR,ssp126,2031_2050,historical_error_longer_ice
conservative,upper,restricted,8716,4392,2602,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,3594371.9454318527,3809591.125621342,215219.18018948947,25501.70204574134,189717.47814374813,4392,0,103,1056.6270316518783,1281810.9040482307,1317316.9929418603,35506.08889362954,3164.2690389974255,32341.819854632107,639,118,12,1794.0249578667995,87,552,0,MPI-ESM1-2-LR,ssp126,2031_2050,historical_error_longer_ice
conservative,upper,unadjusted,8716,4392,2642,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,3668940.824465826,3885404.313260701,216463.48879487484,25923.312802212487,190540.17599266235,4392,0,103,1154.1772206175958,1357653.7965674077,1393955.6844273638,36301.88785995607,3658.379529432159,32643.50833052391,642,120,10,1722.947538935573,88,554,0,MPI-ESM1-2-LR,ssp126,2031_2050,historical_error_longer_ice
core,lower,restricted,8716,5214,2602,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,4135201.2663897565,4400668.625645485,265467.3592557285,25319.360105161573,240147.99915056687,5138,76,347,28569.33266804713,742255.503977609,765001.1449856048,22745.64100799579,3523.73467172348,19221.906336272306,520,98,92,5261.778788179438,165,355,0,MPI-ESM1-2-LR,ssp126,2031_2050,historical_error_longer_ice
core,lower,unadjusted,8716,5214,2642,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,4237189.338551888,4505585.904263789,268396.56571189995,26277.427195566215,242119.13851633377,5138,76,347,29330.979648901346,784953.1065735702,808529.7790970319,23576.672523461722,4025.2419727712,19551.43055069052,517,99,92,5430.167764507618,166,351,0,MPI-ESM1-2-LR,ssp126,2031_2050,historical_error_longer_ice
core,upper,restricted,8716,4906,2602,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,4951815.011814574,5197720.565618487,245905.55380391362,33102.95964072589,212802.59416318772,4906,0,115,1223.9276806679657,1798446.6406849008,1838468.4232641365,40021.78257923576,6399.555701152576,33622.22687808317,744,145,20,1927.7863467821114,95,649,0,MPI-ESM1-2-LR,ssp126,2031_2050,historical_error_longer_ice
core,upper,unadjusted,8716,4906,2642,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,5060111.405678617,5308431.896536727,248320.49085811034,34210.85412104422,214109.6367370661,4906,0,115,1321.4778696336834,1902512.6180741496,1945344.8529892564,42832.23491510672,7473.7660857538085,35358.4688293529,746,147,18,1870.5288579329226,96,650,0,MPI-ESM1-2-LR,ssp126,2031_2050,historical_error_longer_ice
conservative,lower,restricted,8716,9049,2602,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,3589920.5901038717,3923509.651824268,333589.06172039633,14382.181206762341,319206.880513634,8885,164,318,24449.348111375737,510036.6767568044,527606.3344871753,17569.657730370953,1442.0502008311032,16127.607529539848,384,89,88,5167.859354249998,95,289,0,MPI-ESM1-2-LR,ssp126,2031_2050,historical_error_shorter_ice
conservative,lower,unadjusted,8716,9049,2642,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,3661269.9542284994,3997062.234675478,335792.2804469787,14650.888588674177,321141.39185830456,8885,164,318,24930.922745300984,539761.8779957737,557082.4038329608,17320.525837187128,1562.0515293088104,15758.474307878318,381,90,88,5319.425155727913,95,286,0,MPI-ESM1-2-LR,ssp126,2031_2050,historical_error_shorter_ice
conservative,upper,restricted,8716,8574,2602,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,4282832.378786964,4599334.873917605,316502.4951306404,21414.936052988916,295087.5590776515,8574,0,7,330.02667539324557,1292963.7965221866,1323236.2326541375,30272.436131950915,3128.750879916494,27143.685252034415,566,136,12,1794.0249578667995,10,556,0,MPI-ESM1-2-LR,ssp126,2031_2050,historical_error_shorter_ice
conservative,upper,unadjusted,8716,8574,2642,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,4359747.767500643,4678208.568486713,318460.8009860707,21822.755008708184,296638.0459773625,8574,0,7,427.57686435896323,1369607.1962361631,1400301.8812394843,30694.685003321047,3621.779014187301,27072.905989133742,568,138,10,1722.947538935573,10,558,0,MPI-ESM1-2-LR,ssp126,2031_2050,historical_error_shorter_ice
core,lower,restricted,8716,9326,2602,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,4885914.716615793,5247279.776842139,361365.0602263449,20926.628294135386,340438.4319322095,9145,181,347,27738.56115372242,748484.0901347292,768521.1134341707,20037.023299441575,3499.883816171464,16537.139483270108,458,109,92,5261.778788179438,99,359,0,MPI-ESM1-2-LR,ssp126,2031_2050,historical_error_shorter_ice
core,lower,unadjusted,8716,9326,2642,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,4990789.336331117,5355351.698371851,364562.36204073357,21864.329643461144,342698.0323972724,9145,181,347,28500.20813457664,791722.963601865,812423.1797567619,20700.21615489688,3999.7097942684877,16700.506360628387,454,110,92,5430.167764507618,99,355,0,MPI-ESM1-2-LR,ssp126,2031_2050,historical_error_shorter_ice
core,upper,restricted,8716,8808,2602,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,5702528.462040611,6044331.716815141,341803.25477453007,28710.2278296997,313093.0269448304,8808,0,10,393.15616634325727,1810315.6887243122,1844448.8463467709,34133.1576224587,6361.153964447991,27772.0036580107,665,163,20,1927.7863467821114,12,653,0,MPI-ESM1-2-LR,ssp126,2031_2050,historical_error_shorter_ice
core,upper,unadjusted,8716,8808,2642,15929814.759277975,15877028.764312627,-52785.99496534668,-52785.99496534668,0.0,5813711.403457846,6158197.6906447895,344486.2871869439,29797.756568939145,314688.5306180048,8808,0,10,490.70635530897493,1915201.459680149,1951754.6058195643,36553.14613941517,7434.343919290936,29118.80222012423,666,165,18,1870.5288579329226,12,654,0,MPI-ESM1-2-LR,ssp126,2031_2050,historical_error_shorter_ice
conservative,lower,restricted,8601,6694,4400,15929814.759277975,15927245.368861608,-2569.390416366333,-2569.390416366333,0.0,3202969.1023642085,3570548.8852155143,367579.78285130585,45154.84227289366,322424.9405784122,6586,108,364,32918.96099714597,509591.82494149316,553705.9709839845,44114.14604249139,8629.508647610817,35484.63739488057,567,29,94,6152.449296321301,115,452,0,MPI-ESM1-2-LR,ssp126,2081_2100,central
conservative,lower,unadjusted,8601,6694,4443,15929814.759277975,15927245.368861608,-2569.390416366333,-2569.390416366333,0.0,3273091.2617936786,3643310.0587867033,370218.7969930248,46296.13282699762,323922.6641660272,6586,108,364,33482.58096398601,539273.7076754981,583545.9545619702,44272.246886472094,9034.75694730118,35237.48993917091,566,32,94,6389.090165333985,115,451,0,MPI-ESM1-2-LR,ssp126,2081_2100,central
conservative,upper,restricted,8601,6229,4400,15929814.759277975,15927245.368861608,-2569.390416366333,-2569.390416366333,0.0,3895880.8910473012,4247342.4680420095,351461.57699470833,61738.29108649418,289723.28590821417,6229,0,7,217.3063269479215,1291618.6509317972,1382490.821921786,90872.1709899888,22596.086178266276,68276.08481172253,1066,42,34,2063.7487897002306,28,1038,0,MPI-ESM1-2-LR,ssp126,2081_2100,central
conservative,upper,unadjusted,8601,6229,4443,15929814.759277975,15927245.368861608,-2569.390416366333,-2569.390416366333,0.0,3971569.075065822,4325431.155942066,353862.08087624336,63106.59455677935,290755.48631946405,6229,0,7,315.4031174228398,1368213.9412549762,1460564.3550232775,92350.4137683013,23779.90640060045,68570.50736770085,1069,45,32,2044.2227260463033,28,1041,0,MPI-ESM1-2-LR,ssp126,2081_2100,central
core,lower,restricted,8601,7287,4400,15929814.759277975,15927245.368861608,-2569.390416366333,-2569.390416366333,0.0,4472360.504987216,4879481.042777072,407120.5377898565,55937.73940470134,351182.79838515515,7162,125,412,38123.540403546205,748032.9891227153,801176.7652296164,53143.7761069011,12261.813635152657,40881.96247174844,646,35,98,6157.580579123266,119,527,0,MPI-ESM1-2-LR,ssp126,2081_2100,central
core,lower,unadjusted,8601,7287,4443,15929814.759277975,15927245.368861608,-2569.390416366333,-2569.390416366333,0.0,4576003.660295937,4986892.448991135,410888.7886951978,57888.88411249787,352999.90458269994,7162,125,412,38969.094134811516,791227.7108586599,845495.1167284502,54267.40586979026,13068.756425011787,41198.64944477847,644,38,98,6415.707679800511,119,525,0,MPI-ESM1-2-LR,ssp126,2081_2100,central
core,upper,restricted,8601,6762,4400,15929814.759277975,15927245.368861608,-2569.390416366333,-2569.390416366333,0.0,5288974.250412033,5676071.528381202,387097.27796917007,73721.83437166229,313375.4435975078,6762,0,12,316.1856158988437,1808964.2939372202,1911742.0916402075,102777.79770298713,28842.605509545756,73935.19219344135,1167,50,44,2155.526073018124,28,1139,0,MPI-ESM1-2-LR,ssp126,2081_2100,central
core,upper,unadjusted,8601,6762,4443,15929814.759277975,15927245.368861608,-2569.390416366333,-2569.390416366333,0.0,5398925.727422666,5789287.75613106,390362.0287083946,75916.93585413246,314445.09285426216,6762,0,12,414.282406373762,1913801.1222760326,2020161.0132643227,106359.8909882901,30692.809521872645,75667.08146641747,1169,53,42,2149.7831762742176,28,1141,0,MPI-ESM1-2-LR,ssp126,2081_2100,central
conservative,lower,restricted,8601,4607,4400,15929814.759277975,15927245.368861608,-2569.390416366333,-2569.390416366333,0.0,2901460.15674876,3162934.060834314,261473.90408555424,47168.30390074868,214305.60018480557,4541,66,364,33220.62190538326,504391.06578663195,550768.2589701505,46377.193183518524,8689.846894678776,37687.34628883974,613,24,94,6152.449296321301,162,451,0,MPI-ESM1-2-LR,ssp126,2081_2100,historical_error_longer_ice
conservative,lower,unadjusted,8601,4607,4443,15929814.759277975,15927245.368861608,-2569.390416366333,-2569.390416366333,0.0,2970463.011193683,3234328.704609326,263865.6934156433,48307.3557268128,215558.33768883048,4541,66,364,33784.241872223305,533582.9167920934,580268.9099024915,46685.99311039805,9100.940762627968,37585.05234777008,613,27,94,6389.090165333985,163,450,0,MPI-ESM1-2-LR,ssp126,2081_2100,historical_error_longer_ice
conservative,upper,restricted,8601,4226,4400,15929814.759277975,15927245.368861608,-2569.390416366333,-2569.390416366333,0.0,3594371.9454318527,3839727.6436608094,245355.69822895672,63751.752714349204,181603.9455146075,4226,0,49,518.9672351852141,1281810.9040482307,1378585.8348181224,96774.93076989167,22674.573126610194,74100.35764328147,1131,31,34,2063.7487897002306,94,1037,0,MPI-ESM1-2-LR,ssp126,2081_2100,historical_error_longer_ice
conservative,upper,unadjusted,8601,4226,4443,15929814.759277975,15927245.368861608,-2569.390416366333,-2569.390416366333,0.0,3668940.824465826,3916449.801764688,247508.97729886184,65117.81745659453,182391.1598422673,4226,0,49,617.0640256601325,1357653.7965674077,1456270.0734861519,98616.27691874422,23865.782078896864,74750.49483984735,1135,34,32,2044.2227260463033,95,1040,0,MPI-ESM1-2-LR,ssp126,2081_2100,historical_error_longer_ice
core,lower,restricted,8601,5154,4400,15929814.759277975,15927245.368861608,-2569.390416366333,-2569.390416366333,0.0,4135201.2663897565,4435552.909656015,300351.643266259,57924.46092001066,242427.18234624833,5076,78,412,38464.43662362694,742255.503977609,798229.9552350205,55974.451257411456,12321.973537898744,43652.47771951271,699,30,98,6157.580579123266,173,526,0,MPI-ESM1-2-LR,ssp126,2081_2100,historical_error_longer_ice
core,lower,unadjusted,8601,5154,4443,15929814.759277975,15927245.368861608,-2569.390416366333,-2569.390416366333,0.0,4237189.338551888,4541548.658663208,304359.3201113187,59876.088432152734,244483.23167916603,5076,78,412,39309.990354892245,784953.1065735702,842208.9740882096,57255.86751463942,13134.75225061756,44121.115264021864,698,33,98,6415.707679800511,174,524,0,MPI-ESM1-2-LR,ssp126,2081_2100,historical_error_longer_ice
core,upper,restricted,8601,4723,4400,15929814.759277975,15927245.368861608,-2569.390416366333,-2569.390416366333,0.0,4951815.011814574,5232143.395260146,280328.3834455726,75708.55588697162,204619.82755860095,4723,0,59,657.0818359795779,1798446.6406849008,1907797.4887007452,109350.84801584453,28920.470935594403,80430.37708025011,1240,39,44,2155.526073018124,102,1138,0,MPI-ESM1-2-LR,ssp126,2081_2100,historical_error_longer_ice
