protection,endpoint,arm,strength,missing_case,waterbodies,L1_TWh,L2_TWh,L3_TWh,L2_fraction_L1,L3_fraction_L1,environmental_candidates,L3_positive_waterbodies,cost_excluded_after_access,model,experiment,period,ice_error_case
core,lower,codex_primary,0.0,unadjusted,199976,16712.988951423074,6581.837272128915,1447.3921967161764,0.3938156897763333,0.08660283333657887,48846,8045,3039,current_reference,current,POWER_2019_2023,current_inventory
core,lower,codex_primary,0.0,restricted,199976,16712.988951423074,6581.837272128915,1447.3921967161764,0.3938156897763333,0.08660283333657887,48846,8045,3039,current_reference,current,POWER_2019_2023,current_inventory
core,lower,codex_primary,0.25,unadjusted,199976,16712.988951423074,5694.173666526119,1125.906388122265,0.34070349014628365,0.06736714727657357,48846,7790,3294,current_reference,current,POWER_2019_2023,current_inventory
core,lower,codex_primary,0.25,restricted,199976,16712.988951423074,5641.934179045461,1098.1233696801528,0.33757780822113587,0.06570478643119368,48846,7770,3314,current_reference,current,POWER_2019_2023,current_inventory
core,lower,codex_primary,0.5,unadjusted,199976,16712.988951423074,4806.510060923321,843.0912199609053,0.28759129051623394,0.05044526879132041,48846,7480,3604,current_reference,current,POWER_2019_2023,current_inventory
core,lower,codex_primary,0.5,restricted,199976,16712.988951423074,4702.031085962009,797.1210209068657,0.28133992666593854,0.04769470160147462,48846,7424,3660,current_reference,current,POWER_2019_2023,current_inventory
core,lower,codex_primary,0.75,unadjusted,199976,16712.988951423074,3918.8464553205235,603.9922435163675,0.2344790908861842,0.03613909189265268,48846,7189,3895,current_reference,current,POWER_2019_2023,current_inventory
core,lower,codex_primary,0.75,restricted,199976,16712.988951423074,3762.127992878556,548.3247587318284,0.2251020451107412,0.0328083001984597,48846,7098,3986,current_reference,current,POWER_2019_2023,current_inventory
core,lower,no_ecology,0.5,unadjusted,199976,16712.988951423074,6581.837272128915,1123.8403248235102,0.3938156897763333,0.0672435270608982,48846,7480,3604,current_reference,current,POWER_2019_2023,current_inventory
core,lower,no_ecology,0.5,restricted,199976,16712.988951423074,6581.837272128915,1088.923866699786,0.3938156897763333,0.06515434611156531,48846,7424,3660,current_reference,current,POWER_2019_2023,current_inventory
core,lower,no_maintenance,0.5,unadjusted,199976,16712.988951423074,4806.510060923321,881.1116035388659,0.28759129051623394,0.05272016909122896,48846,8045,3039,current_reference,current,POWER_2019_2023,current_inventory
core,lower,no_maintenance,0.5,restricted,199976,16712.988951423074,4702.031085962009,835.3549934239533,0.28133992666593854,0.04998238171831165,48846,8045,3039,current_reference,current,POWER_2019_2023,current_inventory
core,lower,no_institutions,0.5,unadjusted,199976,16712.988951423074,4806.510060923321,1039.5582377048538,0.28759129051623394,0.062200617778565434,48846,7480,3604,current_reference,current,POWER_2019_2023,current_inventory
core,lower,no_institutions,0.5,restricted,199976,16712.988951423074,4702.031085962009,1010.4937650261021,0.28133992666593854,0.06046158278229824,48846,7424,3660,current_reference,current,POWER_2019_2023,current_inventory
core,upper,codex_primary,0.0,unadjusted,199976,16712.988951423074,7347.522433030213,3261.880556821272,0.43962946749896503,0.19517038910885715,56543,16239,4154,current_reference,current,POWER_2019_2023,current_inventory
core,upper,codex_primary,0.0,restricted,199976,16712.988951423074,7347.522433030213,3261.880556821272,0.43962946749896503,0.19517038910885715,56543,16239,4154,current_reference,current,POWER_2019_2023,current_inventory
core,upper,codex_primary,0.25,unadjusted,199976,16712.988951423074,6364.489542052018,2535.59068854213,0.38081097047037155,0.15171377758412447,56543,15631,4762,current_reference,current,POWER_2019_2023,current_inventory
core,upper,codex_primary,0.25,restricted,199976,16712.988951423074,6312.031856838556,2474.474923438677,0.37767223296710795,0.1480569951090634,56543,15596,4797,current_reference,current,POWER_2019_2023,current_inventory
core,upper,codex_primary,0.5,unadjusted,199976,16712.988951423074,5381.456651073825,1905.5270915480014,0.3219924734417781,0.11401474009744678,56543,15090,5303,current_reference,current,POWER_2019_2023,current_inventory
core,upper,codex_primary,0.5,restricted,199976,16712.988951423074,5276.541280646899,1802.8795395251577,0.31571499843525075,0.10787295706143853,56543,15007,5386,current_reference,current,POWER_2019_2023,current_inventory
core,upper,codex_primary,0.75,unadjusted,199976,16712.988951423074,4398.423760095631,1371.6871134828618,0.26317397641318463,0.08207311794854419,56543,14593,5800,current_reference,current,POWER_2019_2023,current_inventory
core,upper,codex_primary,0.75,restricted,199976,16712.988951423074,4241.050704455244,1246.3095392028367,0.2537577639033937,0.07457131353495666,56543,14467,5926,current_reference,current,POWER_2019_2023,current_inventory
core,upper,no_ecology,0.5,unadjusted,199976,16712.988951423074,7347.522433030213,2538.671230320665,0.43962946749896503,0.15189809780281718,56543,15090,5303,current_reference,current,POWER_2019_2023,current_inventory
core,upper,no_ecology,0.5,restricted,199976,16712.988951423074,7347.522433030213,2458.1729919239883,0.43962946749896503,0.14708159019722683,56543,15007,5386,current_reference,current,POWER_2019_2023,current_inventory
core,upper,no_maintenance,0.5,unadjusted,199976,16712.988951423074,5381.456651073825,1982.8546829655793,0.3219924734417781,0.11864153615662766,56543,16239,4154,current_reference,current,POWER_2019_2023,current_inventory
core,upper,no_maintenance,0.5,restricted,199976,16712.988951423074,5276.541280646899,1880.506434571576,0.31571499843525075,0.11251766156474692,56543,16239,4154,current_reference,current,POWER_2019_2023,current_inventory
core,upper,no_institutions,0.5,unadjusted,199976,16712.988951423074,5381.456651073825,2357.0973929806023,0.3219924734417781,0.14103386293329062,56543,15090,5303,current_reference,current,POWER_2019_2023,current_inventory
core,upper,no_institutions,0.5,restricted,199976,16712.988951423074,5276.541280646899,2296.5803865371877,0.31571499843525075,0.13741290640544812,56543,15007,5386,current_reference,current,POWER_2019_2023,current_inventory
conservative,lower,codex_primary,0.0,unadjusted,199976,16712.988951423074,4782.767215022281,1003.2311290603949,0.2861706681505966,0.06002703238638663,40093,6527,2022,current_reference,current,POWER_2019_2023,current_inventory
conservative,lower,codex_primary,0.0,restricted,199976,16712.988951423074,4782.767215022281,1003.2311290603949,0.2861706681505966,0.06002703238638663,40093,6527,2022,current_reference,current,POWER_2019_2023,current_inventory
conservative,lower,codex_primary,0.25,unadjusted,199976,16712.988951423074,4135.302189698079,776.2594289266424,0.24743043878731022,0.04644647532424447,40093,6295,2254,current_reference,current,POWER_2019_2023,current_inventory
conservative,lower,codex_primary,0.25,restricted,199976,16712.988951423074,4099.585121493696,756.9023816112308,0.24529335437301447,0.045288271524093975,40093,6277,2272,current_reference,current,POWER_2019_2023,current_inventory
