scenario,protection,endpoint,missing_case,level,water_saved_km3,legacy_water_saved_km3,delta_vs_legacy_km3,pct_delta_vs_legacy
legacy_fixed_46,core,lower,unadjusted,L1,71.76741688570469,71.76741688570469,0.0,0.0
legacy_fixed_46,core,lower,unadjusted,L2,24.813440407138145,24.813440407138145,0.0,0.0
legacy_fixed_46,core,lower,unadjusted,L3,4.467170353998495,4.467170353998495,0.0,0.0
legacy_fixed_46,core,lower,restricted,L1,71.76741688570469,71.76741688570469,0.0,0.0
legacy_fixed_46,core,lower,restricted,L2,24.435742980154632,24.435742980154632,0.0,0.0
legacy_fixed_46,core,lower,restricted,L3,4.280703652841907,4.280703652841907,0.0,0.0
legacy_fixed_46,core,upper,unadjusted,L1,71.76741688570469,71.76741688570469,0.0,0.0
legacy_fixed_46,core,upper,unadjusted,L2,28.08218345100742,28.08218345100742,0.0,0.0
legacy_fixed_46,core,upper,unadjusted,L3,10.53672226661143,10.53672226661143,0.0,0.0
legacy_fixed_46,core,upper,restricted,L1,71.76741688570469,71.76741688570469,0.0,0.0
legacy_fixed_46,core,upper,restricted,L2,27.701941613499347,27.701941613499347,0.0,0.0
legacy_fixed_46,core,upper,restricted,L3,10.071971904302268,10.071971904302268,0.0,0.0
legacy_fixed_46,conservative,lower,unadjusted,L1,71.76741688570469,71.76741688570469,0.0,0.0
legacy_fixed_46,conservative,lower,unadjusted,L2,17.782540508018144,17.782540508018144,0.0,0.0
legacy_fixed_46,conservative,lower,unadjusted,L3,3.135713010884651,3.135713010884651,0.0,0.0
legacy_fixed_46,conservative,lower,restricted,L1,71.76741688570469,71.76741688570469,0.0,0.0
legacy_fixed_46,conservative,lower,restricted,L2,17.521771650796243,17.521771650796243,0.0,0.0
legacy_fixed_46,conservative,lower,restricted,L3,3.0056344845197045,3.0056344845197045,0.0,0.0
legacy_fixed_46,conservative,upper,unadjusted,L1,71.76741688570469,71.76741688570469,0.0,0.0
legacy_fixed_46,conservative,upper,unadjusted,L2,20.412270598535866,20.412270598535866,0.0,0.0
legacy_fixed_46,conservative,upper,unadjusted,L3,7.546937342870943,7.546937342870943,0.0,0.0
legacy_fixed_46,conservative,upper,restricted,L1,71.76741688570469,71.76741688570469,0.0,0.0
legacy_fixed_46,conservative,upper,restricted,L2,20.14983256723355,20.14983256723355,0.0,0.0
legacy_fixed_46,conservative,upper,restricted,L3,7.208188558332417,7.208188558332417,0.0,0.0
jin_like,core,lower,unadjusted,L1,218.93654777846527,71.76741688570469,147.16913089276056,205.0639932145518
jin_like,core,lower,unadjusted,L2,79.87941165865176,24.813440407138145,55.065971251513616,221.91993672780922
jin_like,core,lower,unadjusted,L3,14.618483979127552,4.467170353998495,10.151313625129056,227.24259029080395
jin_like,core,lower,restricted,L1,218.93654777846527,71.76741688570469,147.16913089276056,205.0639932145518
jin_like,core,lower,restricted,L2,78.69082607169989,24.435742980154632,54.25508309154526,222.0316490298996
jin_like,core,lower,restricted,L3,14.02731205245218,4.280703652841907,9.746608399610274,227.68706245618336
jin_like,core,upper,unadjusted,L1,218.93654777846527,71.76741688570469,147.16913089276056,205.0639932145518
jin_like,core,upper,unadjusted,L2,90.33025427822524,28.08218345100742,62.248070827217816,221.66392772063713
jin_like,core,upper,unadjusted,L3,34.60999136639085,10.53672226661143,24.07326909977942,228.47018731871054
jin_like,core,upper,restricted,L1,218.93654777846527,71.76741688570469,147.16913089276056,205.0639932145518
jin_like,core,upper,restricted,L2,89.13496489261111,27.701941613499347,61.433023279111765,221.76432300750724
jin_like,core,upper,restricted,L3,33.1507896559528,10.071971904302268,23.078817751650533,229.13902035203614
jin_like,conservative,lower,unadjusted,L1,218.93654777846527,71.76741688570469,147.16913089276056,205.0639932145518
jin_like,conservative,lower,unadjusted,L2,56.71514834391138,17.782540508018144,38.932607835893236,218.9372650006816
jin_like,conservative,lower,unadjusted,L3,10.257633742619007,3.135713010884651,7.121920731734356,227.1228491578415
jin_like,conservative,lower,restricted,L1,218.93654777846527,71.76741688570469,147.16913089276056,205.0639932145518
jin_like,conservative,lower,restricted,L2,55.90147140561587,17.521771650796243,38.379699754819626,219.04006352619905
jin_like,conservative,lower,restricted,L3,9.845293593671812,3.0056344845197045,6.839659109152107,227.56124020998757
jin_like,conservative,upper,unadjusted,L1,218.93654777846527,71.76741688570469,147.16913089276056,205.0639932145518
jin_like,conservative,upper,unadjusted,L2,65.07848368183045,20.412270598535866,44.66621308329458,218.82040446053267
jin_like,conservative,upper,unadjusted,L3,24.75776768818134,7.546937342870943,17.210830345310395,228.05052650355245
jin_like,conservative,upper,restricted,L1,218.93654777846527,71.76741688570469,147.16913089276056,205.0639932145518
jin_like,conservative,upper,restricted,L2,64.26062837942376,20.14983256723355,44.11079581219022,218.91395705153678
jin_like,conservative,upper,restricted,L3,23.702599226258627,7.208188558332417,16.49441066792621,228.82879012452088
rh_minus_0.10,core,lower,unadjusted,L1,222.17805998061903,71.76741688570469,150.41064309491435,209.5806838560948
rh_minus_0.10,core,lower,unadjusted,L2,80.84277925215466,24.813440407138145,56.02933884501651,225.80237937863066
rh_minus_0.10,core,lower,unadjusted,L3,14.777831106317048,4.467170353998495,10.310660752318555,230.80966104392328
rh_minus_0.10,core,lower,restricted,L1,222.17805998061903,71.76741688570469,150.41064309491435,209.5806838560948
rh_minus_0.10,core,lower,restricted,L2,79.64232745689839,24.435742980154632,55.20658447674376,225.92554080135608
rh_minus_0.10,core,lower,restricted,L3,14.179832298991185,4.280703652841907,9.89912864614928,231.25003384846246
rh_minus_0.10,core,upper,unadjusted,L1,222.17805998061903,71.76741688570469,150.41064309491435,209.5806838560948
rh_minus_0.10,core,upper,unadjusted,L2,91.42396726706109,28.08218345100742,63.34178381605366,225.55861415320732
rh_minus_0.10,core,upper,unadjusted,L3,34.957332038058645,10.53672226661143,24.420609771447214,231.7666647514359
rh_minus_0.10,core,upper,restricted,L1,222.17805998061903,71.76741688570469,150.41064309491435,209.5806838560948
rh_minus_0.10,core,upper,restricted,L2,90.21663741389366,27.701941613499347,62.51469580039432,225.66900426189073
rh_minus_0.10,core,upper,restricted,L3,33.48410729947849,10.071971904302268,23.41213539517622,232.44837870502465
rh_minus_0.10,conservative,lower,unadjusted,L1,222.17805998061903,71.76741688570469,150.41064309491435,209.5806838560948
rh_minus_0.10,conservative,lower,unadjusted,L2,57.41256001392429,17.782540508018144,39.63001950590615,222.8591549561604
rh_minus_0.10,conservative,lower,unadjusted,L3,10.369315017041245,3.135713010884651,7.233602006156595,230.68444022292215
rh_minus_0.10,conservative,lower,restricted,L1,222.17805998061903,71.76741688570469,150.41064309491435,209.5806838560948
rh_minus_0.10,conservative,lower,restricted,L2,56.591098984763185,17.521771650796243,39.06932733396694,222.97589600302496
rh_minus_0.10,conservative,lower,restricted,L3,9.952145168027165,3.0056344845197045,6.94651068350746,231.11628241174844
rh_minus_0.10,conservative,upper,unadjusted,L1,222.17805998061903,71.76741688570469,150.41064309491435,209.5806838560948
rh_minus_0.10,conservative,upper,unadjusted,L2,65.88060523769971,20.412270598535866,45.46833463916384,222.75000921467893
rh_minus_0.10,conservative,upper,unadjusted,L3,25.006727051819126,7.546937342870943,17.459789708948183,231.34933968202623
rh_minus_0.10,conservative,upper,restricted,L1,222.17805998061903,71.76741688570469,150.41064309491435,209.5806838560948
rh_minus_0.10,conservative,upper,restricted,L2,65.0548987300629,20.14983256723355,44.90506616282936,222.85577814602436
rh_minus_0.10,conservative,upper,restricted,L3,23.94156068898473,7.208188558332417,16.733372130652313,232.14392902234934
rh_plus_0.10,core,lower,unadjusted,L1,215.16814574176246,71.76741688570469,143.40072885605775,199.81313955389365
rh_plus_0.10,core,lower,unadjusted,L2,78.70875580904814,24.813440407138145,53.89531540191,217.20210707422015
rh_plus_0.10,core,lower,unadjusted,L3,14.42049008517037,4.467170353998495,9.953319731171874,222.81039097295255
rh_plus_0.10,core,lower,restricted,L1,215.16814574176246,71.76741688570469,143.40072885605775,199.81313955389365
rh_plus_0.10,core,lower,restricted,L2,77.53633134728211,24.435742980154632,53.100588367127486,217.30703425000365
rh_plus_0.10,core,lower,restricted,L3,13.837674212546036,4.280703652841907,9.55697055970413,223.25700012799007
rh_plus_0.10,core,upper,unadjusted,L1,215.16814574176246,71.76741688570469,143.40072885605775,199.81313955389365
rh_plus_0.10,core,upper,unadjusted,L2,89.00309066216916,28.08218345100742,60.92090721116173,216.93792905186743
rh_plus_0.10,core,upper,unadjusted,L3,34.16571740514702,10.53672226661143,23.62899513853559,224.2537531183745
rh_plus_0.10,core,upper,restricted,L1,215.16814574176246,71.76741688570469,143.40072885605775,199.81313955389365
rh_plus_0.10,core,upper,restricted,L2,87.8241556107835,27.701941613499347,60.12221399728416,217.03249120988036
rh_plus_0.10,core,upper,restricted,L3,32.725155833885864,10.071971904302268,22.653183929583598,224.9130969071432
rh_plus_0.10,conservative,lower,unadjusted,L1,215.16814574176246,71.76741688570469,143.40072885605775,199.81313955389365
rh_plus_0.10,conservative,lower,unadjusted,L2,55.86941185378888,17.782540508018144,38.08687134577074,214.18127139143797
rh_plus_0.10,conservative,lower,unadjusted,L3,10.118087230430799,3.135713010884651,6.9823742195461485,222.67261689156535
rh_plus_0.10,conservative,lower,restricted,L1,215.16814574176246,71.76741688570469,143.40072885605775,199.81313955389365
rh_plus_0.10,conservative,lower,restricted,L2,55.06672686958085,17.521771650796243,37.54495521878461,214.2760216663276
rh_plus_0.10,conservative,lower,restricted,L3,9.711631002192167,3.0056344845197045,6.705996517672462,223.11417280481695
rh_plus_0.10,conservative,upper,unadjusted,L1,215.16814574176246,71.76741688570469,143.40072885605775,199.81313955389365
rh_plus_0.10,conservative,upper,unadjusted,L2,64.10678747167132,20.412270598535866,43.694516873135456,214.06005109627336
rh_plus_0.10,conservative,upper,unadjusted,L3,24.43836648990065,7.546937342870943,16.891429147029704,223.8183302659302
rh_plus_0.10,conservative,upper,restricted,L1,215.16814574176246,71.76741688570469,143.40072885605775,199.81313955389365
