country_v117,all_waterbodies,all_twh,l1_waterbodies,l1_twh,core_l2_lower_waterbodies,core_l2_lower_twh,core_l2_upper_waterbodies,core_l2_upper_twh,conservative_l2_lower_waterbodies,conservative_l2_lower_twh,conservative_l2_upper_waterbodies,conservative_l2_upper_twh,core_l3_lower_waterbodies,core_l3_lower_twh,core_l3_upper_waterbodies,core_l3_upper_twh,conservative_l3_lower_waterbodies,conservative_l3_lower_twh,conservative_l3_upper_waterbodies,conservative_l3_upper_twh
Afghanistan,26,19.66226439674328,20,18.49319235359388,7,5.206281496384201,9,5.572154033867398,7,5.206281496384201,9,5.572154033867398,1,0.5341703367513622,2,1.0930868601664063,1,0.5341703367513622,2,1.0930868601664063
Albania,132,9.458145302145581,132,9.458145302145581,39,3.5451811864605243,96,4.14908050907981,35,2.8503946497373343,90,3.4448882423501246,20,2.4991748256547712,68,3.189047006074981,20,2.4991748256547712,67,3.186346207578702
Algeria,108,33.47511611381313,108,33.47511611381313,40,10.757819426583415,58,15.966668029603795,37,5.855275670806044,55,11.064124273826422,15,2.0630494219380533,40,13.33837570625259,14,2.0024786900221896,37,8.435831950475219
Angola,73,18.22860510152318,73,18.22860510152318,32,12.493945118928496,32,12.493945118928496,32,12.493945118928496,32,12.493945118928496,8,0.5606232213455528,16,11.380398206238345,8,0.5606232213455528,16,11.380398206238345
Antigua and Barbuda,2,0.08414960370417587,2,0.08414960370417587,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Argentina,2379,291.88545204992624,2364,290.69182844309563,252,101.66385251453674,256,102.6795078697245,188,73.85948289019807,191,74.50023096892036,69,37.7183935468258,116,73.5494152767182,51,29.799070048825556,78,50.7622673384258
Armenia,18,4.9771142901858525,18,4.9771142901858525,7,0.278349580415832,13,0.48172194449919786,5,0.21762191988128637,10,0.35644309388736295,4,0.18136861836114024,11,0.4073380831606917,3,0.16391600517701357,9,0.346610422626146
Australia,2830,605.8104725966996,2830,605.8104725966996,166,47.768164543992945,199,50.48899862318582,134,27.69419541127279,167,30.415029490465667,99,22.9520286252926,181,42.04338192642651,85,16.915361936174047,153,29.21892807262335
Austria,93,5.507583021031387,93,5.507583021031387,29,1.41983237386984,43,2.305292688809662,14,0.31165333476742046,23,0.4906734324203955,25,1.272549743768365,43,2.305292688809662,12,0.26200498936781386,23,0.4906734324203955
Azerbaijan,76,17.20483391703824,76,17.20483391703824,37,5.897837352771238,39,6.891774643131343,29,1.2677070214405244,30,1.389017047067734,12,0.5369315711958336,18,4.674053817693927,12,0.5369315711958336,17,0.9050326586713235
Bangladesh,198,12.482929534081013,198,12.482929534081013,152,6.946726770063401,152,6.946726770063401,148,6.816190663567575,148,6.816190663567575,47,1.8488988584329515,86,4.356785130251196,47,1.8488988584329515,85,4.333950734215129
Belarus,258,13.792504459952696,258,13.792504459952696,98,4.850878398864447,99,5.197742955579132,95,4.780333548494738,96,5.127198105209423,72,3.743825858168863,91,4.998644935046198,71,3.696865778931526,90,4.951684855808861
Belgium,14,0.39287491178416134,14,0.39287491178416134,9,0.2522402180692336,9,0.2522402180692336,5,0.14300423395545914,5,0.14300423395545914,8,0.22304614835344752,9,0.2522402180692336,5,0.14300423395545914,5,0.14300423395545914
Belize,45,3.8830139400488544,45,3.8830139400488544,16,0.6168324834522985,16,0.6168324834522985,16,0.6168324834522985,16,0.6168324834522985,4,0.08152850787587504,4,0.08152850787587504,4,0.08152850787587504,4,0.08152850787587504
Benin,13,4.022634852773389,13,4.022634852773389,10,3.945232448905951,10,3.945232448905951,3,0.16877497278028708,3,0.16877497278028708,1,0.10748566249797066,2,0.14189902172058544,0,0.0,0,0.0
Bhutan,4,0.1415106591595688,1,0.08461659754049886,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bolivia,886,118.62659671267625,882,106.88201833127631,49,20.289722575698065,49,20.289722575698065,31,5.077886027080812,31,5.077886027080812,6,1.3898686920997254,10,3.2285811577842995,3,0.3289386346973717,5,2.1113124391886244
Bosnia and Herzegovina,34,4.739016097210812,34,4.739016097210812,22,2.0685146517486257,25,2.5613519472506905,16,1.2689876350327989,19,1.7618249305348637,15,1.7014558244317168,25,2.5613519472506905,9,0.9019288077158899,19,1.7618249305348637
Botswana,113,32.54436395710615,113,32.54436395710615,3,1.8112085256353456,3,1.8112085256353456,3,1.8112085256353456,3,1.8112085256353456,2,1.0158641560443717,3,1.8112085256353456,2,1.0158641560443717,3,1.8112085256353456
Brazil,3429,693.1808364130765,3429,693.1808364130765,871,349.5051153229565,1033,402.1940816394301,672,215.25433343327367,813,249.2119956274428,129,66.65150096215467,393,268.6657348863994,98,39.74241204320011,304,176.4501660371064
Brunei,6,0.3303190746332135,6,0.3303190746332135,0,0.0,2,0.0475009728775364,0,0.0,2,0.0475009728775364,0,0.0,2,0.0475009728775364,0,0.0,2,0.0475009728775364
Bulgaria,122,12.637886894071723,122,12.637886894071723,68,9.284580246657915,84,9.465564628075658,24,0.5829177446571977,31,0.6018793522502915,53,8.858040623196832,84,9.465564628075658,17,0.43219197178075425,31,0.6018793522502915
Burkina Faso,82,31.499709155122527,82,31.499709155122527,41,14.278180057523441,45,25.02147585024626,31,3.605412168939119,33,5.78392511701034,6,0.2686462941362702,14,5.849086034203247,5,0.24220977064639712,11,0.8461930903690899
Burundi,6,2.183514670889146,6,2.183514670889146,4,2.1077650937521777,4,2.1077650937521777,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cambodia,114,17.432120170765913,114,17.432120170765913,61,4.916694819089813,62,9.4023044513738,55,4.206685141094564,55,4.206685141094564,0,0.0,0,0.0,0,0.0,0,0.0
Cameroon,31,24.964486368461483,31,24.964486368461483,23,24.48216350881206,23,24.48216350881206,21,19.320412292701945,21,19.320412292701945,0,0.0,5,18.70175145950244,0,0.0,5,18.70175145950244
Canada,91719,5215.911092204138,12039,1209.7341059867806,803,69.19387339669305,849,76.62795553825329,778,62.14636328797778,821,67.41414868421262,423,25.485947205538107,674,54.5034861509396,411,24.682106615132597,650,48.09755498812118
Central African Republic,2,0.6047495748662778,2,0.6047495748662778,1,0.5825330024497517,1,0.5825330024497517,1,0.5825330024497517,1,0.5825330024497517,0,0.0,0,0.0,0,0.0,0,0.0
Chad,71,19.560290680283348,71,19.560290680283348,15,8.397782044233177,15,8.397782044233177,12,4.943901930855306,12,4.943901930855306,0,0.0,0,0.0,0,0.0,0,0.0
Chile,891,111.34687575581975,870,108.1569410457877,66,41.232609557430585,76,44.345144774706064,31,9.389766147809981,39,12.141827875124505,17,5.2562103444456065,34,12.643821563127151,8,4.995555786898516,20,8.408178396317028
China,9430,1342.049148066373,8632,1190.3503628316416,4205,616.9910525935094,6570,739.0464075071853,4145,601.8109357922852,6498,722.2549456862953,1169,181.39262873650907,2824,404.8122293752962,1160,176.70239816543526,2794,392.9195784523037
Colombia,733,84.73814270999125,733,84.73814270999125,344,57.7197154870026,356,63.92032752828927,286,44.68606432103439,294,46.00257091403862,31,8.547331121948783,97,23.655864351955525,21,3.0842013612859365,75,15.217598500282053
