population,maximum_depth_limit_m,lcoe_limit_usd_mwh,waterbodies,generation_twh
core_l3_lower,none,none,11084,1594.5943379021421
core_l3_lower,none,75.0,2482,710.2004257801011
core_l3_lower,none,100.0,8045,1447.3921967161766
core_l3_lower,none,125.0,10319,1567.4743761382201
core_l3_lower,20.0,none,9521,601.2614555091136
core_l3_lower,20.0,75.0,1976,177.7603412336526
core_l3_lower,20.0,100.0,6762,511.4738334311971
core_l3_lower,20.0,125.0,8848,582.473876521317
core_l3_lower,50.0,none,10873,1276.5459192492672
core_l3_lower,50.0,75.0,2408,526.552655474806
core_l3_lower,50.0,100.0,7864,1140.3223080298706
core_l3_lower,50.0,125.0,10120,1251.570773861718
core_l3_lower,100.0,none,11042,1514.4183677306078
core_l3_lower,100.0,75.0,2465,656.7532479899996
core_l3_lower,100.0,100.0,8010,1372.011493049517
core_l3_lower,100.0,125.0,10280,1487.8993911779746
core_l3_upper,none,none,20393,3508.2823401709124
core_l3_upper,none,75.0,6214,1882.8046008898746
core_l3_upper,none,100.0,16239,3261.8805568212715
core_l3_upper,none,125.0,19495,3473.420009723095
core_l3_upper,20.0,none,13661,988.9099729890954
core_l3_upper,20.0,75.0,3496,367.2849213536332
core_l3_upper,20.0,100.0,10411,871.8802237858063
core_l3_upper,20.0,125.0,12919,968.2021289901694
core_l3_upper,50.0,none,15814,2353.202217100383
core_l3_upper,50.0,75.0,4316,1174.9453039171858
core_l3_upper,50.0,100.0,12239,2155.240861496814
core_l3_upper,50.0,125.0,14982,2324.0925805856136
core_l3_upper,100.0,none,16156,2903.012122237234
core_l3_upper,100.0,75.0,4470,1512.5679906343382
core_l3_upper,100.0,100.0,12552,2691.5898434424626
core_l3_upper,100.0,125.0,15313,2871.5924139247645
