water_type,level,waterbodies,generation_twh
lake_or_controlled_lake,all,179034,11378.417497599332
lake_or_controlled_lake,l1,58877,5800.174730006641
lake_or_controlled_lake,core_l2_lower,14882,1596.134398218625
lake_or_controlled_lake,core_l2_upper,14882,1596.134398218625
lake_or_controlled_lake,conservative_l2_lower,11974,1089.2529848262175
lake_or_controlled_lake,conservative_l2_upper,11974,1089.2529848262175
lake_or_controlled_lake,core_l3_lower,7038,478.9267630280958
lake_or_controlled_lake,core_l3_upper,10114,863.0326506672453
lake_or_controlled_lake,conservative_l3_lower,5350,335.49264645667097
lake_or_controlled_lake,conservative_l3_upper,7933,612.8413282213809
external_reservoir,all,20942,5334.5714538237435
external_reservoir,l1,20792,5194.496916581123
external_reservoir,core_l2_lower,7523,2594.005162211797
external_reservoir,core_l2_upper,13588,3208.4816700977717
external_reservoir,conservative_l2_lower,6247,1825.0667306662297
external_reservoir,conservative_l2_upper,11756,2315.1874556985745
external_reservoir,core_l3_lower,4046,1115.6675748740467
external_reservoir,core_l3_upper,10279,2645.249689503668
external_reservoir,conservative_l3_lower,3199,765.0283355817797
external_reservoir,conservative_l3_upper,8556,1880.751876783068
all,all,199976,16712.988951423074
all,l1,79669,10994.671646587763
all,core_l2_lower,22405,4190.139560430422
all,core_l2_upper,28470,4804.616068316397
all,conservative_l2_lower,18221,2914.319715492447
all,conservative_l2_upper,23730,3404.4404405247924
all,core_l3_lower,11084,1594.5943379021421
all,core_l3_upper,20393,3508.2823401709124
all,conservative_l3_lower,8549,1100.5209820384507
all,conservative_l3_upper,16489,2493.593205004449
